91,2:04:30,Eliud Kipchoge,KEN,05.11.84,1,Enschede,18.04.2021
92,2:04:31,Leul Gebrselassie,ETH,20.09.93,1,Valencia,02.12.2018
92,2:04:31,Leul Gebrselassie,ETH,20.09.93,5,Milano,16.05.2021
94,2:04:32,Tsegaye Mekonnen,ETH,15.06.95,1,Dubai,24.01.2014
94,2:04:32,Dickson Chumba,KEN,27.10.86,3,Chicago,12.10.2014
94,2:04:32,Jonathan Kipleting,KEN,20.11.86,4,Amsterdam,17.10.2021
94,2:04:32,Bashir Abdi,BEL,10.02.89,3,Chicago,08.10.2023
98,2:04:33,Lemi Berhanu,ETH,13.09.94,2,Dubai,22.01.2016
98,2:04:33,Joshua Belet,KEN,10.02.98,2,Hamburg,23.04.2023
100,2:04:35,Hizkel Tewelde,ERI,15.09.86,5,Amsterdam,17.10.2021
101,2:04:36,Kaan Kigen Özbilen,TUR,15.01.86,5,Valencia,04.12.2022
102,2:04:37,Mule Wasihun,ETH,20.10.93,2,Amsterdam,21.10.2018
103,2:04:38,Tsegay Kebede,ETH,15.01.87,1,Chicago,07.10.2012
104,2:04:39,Amos Kipruto,KEN,16.09.92,1,London,02.10.2022
105,2:04:40,Emmanuel Mutai,KEN,12.10.84,1,London,17.04.2011
105,2:04:40,Solomon Deksisa,ETH,11.03.94,3,Amsterdam,21.10.2018
105,2:04:40,Reuben Kiprop Kipyego,KEN,21.08.96,1,Abu Dhabi,06.12.2019
108,2:04:41,Mosinet Geremew,ETH,12.02.92,3,London,03.10.2021
108,2:04:41,Hailemariyam Kiros,ETH,05.02.97,2,Paris,17.10.2021
110,2:04:42,Eliud Kipchoge,KEN,05.11.84,1,London,26.04.2015
110,2:04:42,Guye Adola,ETH,20.10.90,3,Valencia,01.12.2019
110,2:04:42,Haftu Teklu,ETH,26.05.95,5,Berlin,24.09.2023
113,2:04:43,El Hassan El Abbassi,BRN,13.04.84,2,Valencia,02.12.2018
